Tweet,Annotation,Guideline
RT @mindales: BTS Stranger Things AU poster concept @BTS_twt https://t.co/LytZhKkAbr,Not Humorous,
RT @DEvansThe2nd: Kuz is that one freshman who's kicking it with the seniors. 😂 https://t.co/iNgoj3bYNG,Humorous,
RT @ExAmish101: I was Amish and was sexually abused for 6 mo by the bishop of my church before finally going to the police. Strict churches…,Not Humorous,
My son look like he sell stogies 3 dollars a pack,Humorous,
I've come to the conclusion that I might be a Service Verse. https://t.co/8nCRnuNHLS,Not Humorous,
careful where you plant them seeds before you water them 🌱,Not Humorous,
RT @nutitty: Starting to get more tan yessss https://t.co/dJvDI1E9MW,Not Humorous,
"RT @xoShaaan: SIR JOHN Lion King Makeup Collection 🦁 Review, Lip Swatches &amp; Tutorial https://t.co/A5Jzj8QtdF https://t.co/JyDdTPnBF7",Not Humorous,
RT @AwwwwCats: what a cutesy little M you have on your forehead https://t.co/Y5lRXtHBb0,Unsure,"It is light hearted but not ""humour""?"
@laurendesylva @AriMelber ha! good try.,Humorous,
RT @Ogcool3108: Lord the weed you put on earth for us they out here drug testing us for it  😭😤,Humorous,
@VaughnChadell You ready sis🙃❤️,Humorous,
RT @imseokchoo: please rt this to save a life  https://t.co/c59EEwtdBf,Not Humorous,
RT @brumedot: happiness blooms from within   :-)   #PunBNK48 #JennisBNK48 #BNK48  #HBDGrabTH https://t.co/wQG2Sk4Jrm,Not Humorous,
RT @kouotsu: lasty blep https://t.co/vXOhbvnqFc,Humorous,
RT @bts_bighit: [#오늘의방탄] BTS with The Voice @NBCTheVoice!💜 #BTSonTheVoice🎶#BTS https://t.co/U7bjMnaWLb,Not Humorous,
"RT @kaciijolynn: a big heart and a great personality is so attractive, looks are just a plus 😫",Not Humorous,
"RT @ana__limaa: If you could turn any book into a movie, what would you pick and who would be the actors? — A seleção pfvr e eu não me impo…",Not Humorous,
"RT @usminority: FULL INTERVIEW HERE: https://t.co/oGDf834WLK  The left has determined it is an act of hate to tell black &amp; brown ppl, LGBT,…",Not Humorous,
RT @allmaag: This is the real definition of a fat ass and a thick woman. And it’s all REAL. Ima go cry now https://t.co/MxXX5dGlkJ,Humorous,
as foretold by the podcast,Unsure,
RT @GemmaaGibbss: Amy Hart’s best bits  #LoveIsIand https://t.co/Ek7ANQqLfD,Not Humorous,
@nonsuspendedana thank god,Unsure,
RT @_princessmagggs: Honestly I wanna be successful already so I can get pregnant lmao,Humorous,
RT @__erebus: Old news from 2016; Shahzib Ehsan an assistant professor at LUMS was picked by security agencies as he was leaving the campus…,Not Humorous,
I’m so happy I’m in mother sea AND share the world AUAUAUAGG,Humorous,
RT @raniarchanahu: Uffff Feels good deep throat with other's rather then hubby https://t.co/AnjZXLmEOP,Humorous,A bit vulgar
@LadyJordii @RoyaleDemi @nightbarbie @LeahAshe @cybernova @Keisyooo So cute!,Not Humorous,
RT @melissagray_: im confused....just go to your local marine base???? looks like an typical marine https://t.co/wta5eXk8O2,Not Humorous,
RT @Jaywop6: Don’t put no Avery Bradley highlight reel from 2 years ago on my TL,Not Humorous,
"RT @jano88703942: @UNrefugees Will you put the end for the long suffering of Iraqi asylum seekers and refugees in the host countries,AND, g…",Not Humorous,
RT @doolsetbangtan: [Exclusive/Unconfirmed] @BTS_twt will continue its stadium tour in Seoul in late October at Jamail Olympic Stadium. The…,Not Humorous,
RT @TierraTraniece: Don’t skip leg day girls!🧡 https://t.co/p7bTReBS1i,Not Humorous,
Id love to be tonguing your ass !,Not Humorous,
RT @TopTierNSFW: Retweet for goodluck ✨ https://t.co/gMmFonWeH5,Not Humorous,
RT @Todd_1014: Alexander Breck  Photographed by Frank Marando https://t.co/IKZIGn5vuE,Not Humorous,
Arby's date with babe too end our long break from hell. Back to the grind tomorrow! 🤷,Humorous,
RT @ashakiiii: LETS DO IT AGAIN #Blacktwitter 👸🏾🤴🏾👸🏾🤴🏾👸🏾🤴🏾  IF YOU’RE A BLACKTWITTER FAN 🗣🗣🗣🗣 LIKE &amp; RETWEET THIS !!!!!!!! I USED TO HAVE 0…,Humorous,
"@yagirlmollsxo I call what I wear to work my costume, because it isn’t who I am at all.",Unsure,
